DHB,Date,Cases,Population
Wairarapa,2012-06-30,2,42204
Wairarapa,2012-07-31,2,42228
Wairarapa,2012-08-31,2,42254
Wairarapa,2012-09-30,5,42284
Wairarapa,2012-10-31,6,42317
Wairarapa,2012-11-30,8,42356
Wairarapa,2012-12-31,9,42400
Wairarapa,2013-01-31,1,42449
Wairarapa,2013-02-28,3,42504
Wairarapa,2013-03-31,3,42563
Wairarapa,2013-04-30,5,42626
Wairarapa,2013-05-31,7,42693
Wairarapa,2013-06-30,3,42762
Wairarapa,2013-07-31,7,42833
Wairarapa,2013-08-31,6,42906
Wairarapa,2013-09-30,5,42980
Wairarapa,2013-10-31,10,43054
Wairarapa,2013-11-30,7,43127
Wairarapa,2013-12-31,11,43200
Wairarapa,2014-01-31,10,43271
Wairarapa,2014-02-28,6,43341
Wairarapa,2014-03-31,3,43410
Wairarapa,2014-04-30,1,43478
Wairarapa,2014-05-31,2,43545
Wairarapa,2014-06-30,6,43611
Wairarapa,2014-07-31,3,43676
Wairarapa,2014-08-31,5,43741
Wairarapa,2014-09-30,4,43806
Wairarapa,2014-10-31,9,43871
Wairarapa,2014-11-30,4,43935
Wairarapa,2014-12-31,8,44000
Nelson Marlborough,2008-01-31,15,135901
Nelson Marlborough,2008-02-29,14,136001
Nelson Marlborough,2008-03-31,11,136101
Nelson Marlborough,2008-04-30,14,136200
Nelson Marlborough,2008-05-31,15,136299
Nelson Marlborough,2008-06-30,4,136397
Nelson Marlborough,2008-07-31,8,136497
Nelson Marlborough,2008-08-31,17,136596
Nelson Marlborough,2008-09-30,29,136696
Nelson Marlborough,2008-10-31,14,136796
Nelson Marlborough,2008-11-30,27,136898
Nelson Marlborough,2008-12-31,30,137000
Nelson Marlborough,2009-01-31,43,137104
Nelson Marlborough,2009-02-28,13,137209
Nelson Marlborough,2009-03-31,7,137317
Nelson Marlborough,2009-04-30,10,137428
Nelson Marlborough,2009-05-31,12,137543
Nelson Marlborough,2009-06-30,11,137662
Nelson Marlborough,2009-07-31,8,137786
Nelson Marlborough,2009-08-31,7,137915
Nelson Marlborough,2009-09-30,15,138051
Nelson Marlborough,2009-10-31,10,138193
Nelson Marlborough,2009-11-30,22,138343
Nelson Marlborough,2009-12-31,15,138500
Nelson Marlborough,2010-01-31,24,138666
Nelson Marlborough,2010-02-28,20,138838
Nelson Marlborough,2010-03-31,23,139015
Nelson Marlborough,2010-04-30,16,139194
Nelson Marlborough,2010-05-31,9,139375
Nelson Marlborough,2010-06-30,15,139554
Nelson Marlborough,2010-07-31,13,139731
Nelson Marlborough,2010-08-31,24,139902
Nelson Marlborough,2010-09-30,17,140067
Nelson Marlborough,2010-10-31,17,140223
Nelson Marlborough,2010-11-30,23,140368
Nelson Marlborough,2010-12-31,34,140500
Nelson Marlborough,2011-01-31,25,140618
Nelson Marlborough,2011-02-28,20,140723
Nelson Marlborough,2011-03-31,11,140816
Nelson Marlborough,2011-04-30,15,140898
Nelson Marlborough,2011-05-31,11,140970
Nelson Marlborough,2011-06-30,15,141033
Nelson Marlborough,2011-07-31,15,141089
Nelson Marlborough,2011-08-31,11,141139
Nelson Marlborough,2011-09-30,8,141183
Nelson Marlborough,2011-10-31,9,141224
Nelson Marlborough,2011-11-30,22,141263
Nelson Marlborough,2011-12-31,37,141300
Nelson Marlborough,2012-01-31,46,141337
Nelson Marlborough,2012-02-29,27,141375
Nelson Marlborough,2012-03-31,26,141417
Nelson Marlborough,2012-04-30,16,141463
Nelson Marlborough,2012-05-31,35,141516
Nelson Marlborough,2012-06-30,13,141576
Nelson Marlborough,2012-07-31,15,141647
Nelson Marlborough,2012-08-31,10,141728
Nelson Marlborough,2012-09-30,31,141823
Nelson Marlborough,2012-10-31,18,141932
Nelson Marlborough,2012-11-30,36,142057
Nelson Marlborough,2012-12-31,30,142200
Nelson Marlborough,2013-01-31,22,142362
Nelson Marlborough,2013-02-28,14,142541
Nelson Marlborough,2013-03-31,16,142735
Nelson Marlborough,2013-04-30,8,142942
Nelson Marlborough,2013-05-31,6,143160
Nelson Marlborough,2013-06-30,12,143386
Nelson Marlborough,2013-07-31,16,143619
Nelson Marlborough,2013-08-31,7,143856
Nelson Marlborough,2013-09-30,24,144094
Nelson Marlborough,2013-10-31,16,144333
Nelson Marlborough,2013-11-30,16,144569
Nelson Marlborough,2013-12-31,31,144800
Nelson Marlborough,2014-01-31,28,145025
Nelson Marlborough,2014-02-28,18,145244
Nelson Marlborough,2014-03-31,16,145459
Nelson Marlborough,2014-04-30,18,145671
Nelson Marlborough,2014-05-31,18,145881
Nelson Marlborough,2014-06-30,14,146091
Nelson Marlborough,2014-07-31,9,146300
Nelson Marlborough,2014-08-31,13,146512
Nelson Marlborough,2014-09-30,7,146726
Nelson Marlborough,2014-10-31,16,146945
Nelson Marlborough,2014-11-30,17,147169
Nelson Marlborough,2014-12-31,20,147400
West Coast,2008-01-31,8,32421
West Coast,2008-02-29,3,32444
West Coast,2008-03-31,5,32470
West Coast,2008-04-30,6,32497
West Coast,2008-05-31,4,32525
West Coast,2008-06-30,0,32554
West Coast,2008-07-31,2,32583
West Coast,2008-08-31,4,32610
West Coast,2008-09-30,5,32637
West Coast,2008-10-31,7,32661
West Coast,2008-11-30,6,32682
West Coast,2008-12-31,4,32700
West Coast,2009-01-31,4,32714
West Coast,2009-02-28,0,32725
West Coast,2009-03-31,4,32733
West Coast,2009-04-30,3,32740
West Coast,2009-05-31,1,32745
West Coast,2009-06-30,4,32749
West Coast,2009-07-31,2,32753
West Coast,2009-08-31,3,32758
West Coast,2009-09-30,5,32765
West Coast,2009-10-31,3,32774
West Coast,2009-11-30,5,32785
West Coast,2009-12-31,8,32800
West Coast,2010-01-31,6,32819
West Coast,2010-02-28,5,32841
West Coast,2010-03-31,11,32866
West Coast,2010-04-30,3,32893
West Coast,2010-05-31,3,32921
West Coast,2010-06-30,2,32950
West Coast,2010-07-31,2,32979
West Coast,2010-08-31,4,33008
West Coast,2010-09-30,9,33034
West Coast,2010-10-31,9,33059
West Coast,2010-11-30,8,33081
West Coast,2010-12-31,4,33100
West Coast,2011-01-31,3,33115
West Coast,2011-02-28,0,33126
West Coast,2011-03-31,3,33133
West Coast,2011-04-30,2,33137
West Coast,2011-05-31,3,33139
West Coast,2011-06-30,1,33138
West Coast,2011-07-31,6,33135
West Coast,2011-08-31,4,33130
West Coast,2011-09-30,5,33124
West Coast,2011-10-31,3,33116
West Coast,2011-11-30,9,33108
West Coast,2011-12-31,15,33100
West Coast,2012-01-31,6,33091
West Coast,2012-02-29,4,33083
West Coast,2012-03-31,4,33074
West Coast,2012-04-30,2,33066
West Coast,2012-05-31,8,33057
West Coast,2012-06-30,4,33048
West Coast,2012-07-31,2,33040
West Coast,2012-08-31,7,33032
West Coast,2012-09-30,10,33024
West Coast,2012-10-31,10,33015
West Coast,2012-11-30,8,33008
West Coast,2012-12-31,7,33000
West Coast,2013-01-31,5,32993
West Coast,2013-02-28,4,32985
West Coast,2013-03-31,4,32978
West Coast,2013-04-30,4,32971
West Coast,2013-05-31,2,32963
West Coast,2013-06-30,3,32956
West Coast,2013-07-31,5,32948
West Coast,2013-08-31,2,32939
West Coast,2013-09-30,9,32931
West Coast,2013-10-31,16,32921
West Coast,2013-11-30,9,32911
West Coast,2013-12-31,6,32900
West Coast,2014-01-31,9,32888
West Coast,2014-02-28,5,32876
West Coast,2014-03-31,1,32864
West Coast,2014-04-30,6,32851
West Coast,2014-05-31,1,32840
West Coast,2014-06-30,1,32829
West Coast,2014-07-31,2,32819
West Coast,2014-08-31,4,32811
West Coast,2014-09-30,8,32804
West Coast,2014-10-31,12,32800
West Coast,2014-11-30,5,32799
West Coast,2014-12-31,7,32800
Canterbury,2008-01-31,65,497874
Canterbury,2008-02-29,83,498342
Canterbury,2008-03-31,55,498811
Canterbury,2008-04-30,68,499285
Canterbury,2008-05-31,34,499770
Canterbury,2008-06-30,27,500270
Canterbury,2008-07-31,27,500792
Canterbury,2008-08-31,49,501340
Canterbury,2008-09-30,58,501920
Canterbury,2008-10-31,62,502536
Canterbury,2008-11-30,59,503194
Canterbury,2008-12-31,74,503900
Canterbury,2009-01-31,57,504654
Canterbury,2009-02-28,42,505440
Canterbury,2009-03-31,46,506237
Canterbury,2009-04-30,40,507024
Canterbury,2009-05-31,44,507781
Canterbury,2009-06-30,35,508488
Canterbury,2009-07-31,23,509123
Canterbury,2009-08-31,27,509665
Canterbury,2009-09-30,38,510095
Canterbury,2009-10-31,42,510391
Canterbury,2009-11-30,67,510533
Canterbury,2009-12-31,84,510500
Canterbury,2010-01-31,95,510279
Canterbury,2010-02-28,89,509884
Canterbury,2010-03-31,75,509341
Canterbury,2010-04-30,67,508670
Canterbury,2010-05-31,59,507896
Canterbury,2010-06-30,42,507041
Canterbury,2010-07-31,40,506128
Canterbury,2010-08-31,71,505180
Canterbury,2010-09-30,93,504221
Canterbury,2010-10-31,84,503272
Canterbury,2010-11-30,110,502357
Canterbury,2010-12-31,106,501500
