School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
A1 Student Limited,Composite,Composite (Year 1-15),Private: Prov.Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Abbotsford School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Aberdeen School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Aberfeldy School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
ACG Parnell College,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
ACG Strathallan,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
ACG Sunderland,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
ACG Tauranga,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
ADDI Enrichment Academy,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Taupo
Addington Te Kura Taumatua,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Adventure School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
AGE School,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Ahipara School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Ahititi School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Ahuroa School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Aidanfield Christian School,Composite,Composite (Year 1-15),State: Integrated,8,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Canterbury,Christchurch
Aka Aka School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Akaroa Area School,Composite,Composite (Year 1-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Ako,Primary,Full Primary,Private: Prov.Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Al-Madinah School,Composite,Composite (Year 1-15),State: Integrated,2,Co-Ed,Religious Affiliation,Muslim,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Albany Junior High School,Secondary,Secondary (Year 7-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Restricted Composite (Year 7-10),Not a Kura School,Auckland,Auckland: Upper Harbour
Albany School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Albany Senior High School,Secondary,Secondary (Year 9-15),State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Albury School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Mackenzie
Alexandra School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Central Otago
Alfredton School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Tararua
Alfriston College,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Alfriston School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Allandale School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Allenton School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Allenvale Special School and Res Centre,Special,Special School,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Canterbury,Christchurch
Amana Christian School,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Amberley School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Ambury Park Centre,Secondary,Secondary (Year 9-15),Private: Fully Reg.,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Amesbury School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Amisfield School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,South Waikato
Amuri Area School,Composite,Composite (Year 1-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Anchorage Park School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Andersons Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Ao Tawhiti Unlimited Discovery,Composite,Composite (Year 1-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Not a Kura School,Canterbury,Christchurch
Aokautere School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Aoraki Mount Cook School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Mackenzie
Aorangi School (Rotorua),Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Aorere College,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Aotea College,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Apanui School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Aparima College,Secondary,Secondary (Year 7-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Apiti School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Appleby School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Aquinas College,Secondary,Secondary (Year 7-15),State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Arahoe School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Arahunga School,Special,Special School,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Manawatu-Whanganui,Whanganui
Arakura School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Aranga School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
Aranui School (Wanganui),Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Arapohue School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
Ararimu School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Ararira Springs Primary- Te Puna o Ararira,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Arataki School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Ardgowan School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Waitaki
Ardmore School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Argyll East School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Central Hawke's Bay
Aria School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Arohanui Special School,Special,Special School,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Auckland,Auckland: Henderson-Massey
Arohena School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Otorohanga
Arowhenua Maori School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Arrowtown School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Queenstown-Lakes
Arthur Miller School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Arthur Street School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Ascot Community School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Invercargill
Ashbrook School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Opotiki
Ashburton Borough School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ashburton Christian School,Composite,Composite (Year 1-15),State: Integrated,6,Co-Ed,Organisational Affiliation,Trust,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ashburton College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ashburton Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ashburton Netherby School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Ashgrove School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Ashhurst School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Ashley School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Auckland Girls' Grammar School,Secondary,Secondary (Year 9-15),State: Not integrated,3,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
Auckland Grammar,Secondary,Secondary (Year 9-15),State: Not integrated,9,Single Sex-Boys,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Auckland,Auckland: Albert-Eden
Auckland International College,Secondary,Secondary (Year 9-15),Private: Fully Reg.,8,Co-Ed,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Auckland,Auckland: Whau
Auckland Normal Intermediate,Primary,Intermediate,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Auckland,Auckland: Albert-Eden
Auckland Point School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Auckland Seventh-Day Adventist H S,Secondary,Secondary (Year 9-15),State: Integrated,1,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Auroa School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Aurora College,Secondary,Secondary (Year 7-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Invercargill
Avalon Intermediate,Primary,Intermediate,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Avalon School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Avon School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,Stratford
Avondale College,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Avondale Intermediate,Primary,Intermediate,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Avondale Primary School (Auckland),Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Avonhead School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Avonside Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,6,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Awahono School - Grey Valley,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Awahou School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Awakeri School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Awanui School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Awapuni School (Gisborne),Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Awapuni School (P.North),Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Awatapu College,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Awhitu District School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Bailey Road School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Bainesse School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Manawatu
Bairds Mainfreight Primary School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Otara-Papatoetoe
Balaclava School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Balclutha School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Balfour School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Ballance School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Tararua
Balmacewen Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Balmoral S D A School,Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Not a Kura School,Auckland,Auckland: Albert-Eden
Balmoral School (Auckland),Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Albert-Eden
Bamford School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Banks Avenue School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Bankwood School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Baradene College,Secondary,Secondary (Year 7-15),State: Integrated,9,Single Sex-Girls,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Barrytown School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Barton Rural School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Bathgate Park School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Baverstock Oaks School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Bay of Islands College,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Bay of Islands International Academy,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Bayfield High School,Secondary,Secondary (Year 9-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Bayfield School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
Bayswater School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Bayview School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Beach Haven School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Beachlands School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Beaconsfield School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Beckenham Te Kura o Puroto,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Belfast School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Bell Block School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Bellevue School (Newlands),Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Bellevue School (Tauranga),Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Belmont Intermediate,Primary,Intermediate,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Belmont School (Auckland),Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Belmont School (Lower Hutt),Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Benneydale School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Berhampore School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Berkley Normal Middle School,Composite,Restricted Composite (Year 7-10),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Restricted Composite (Year 7-9),Not a Kura School,Waikato,Hamilton
Bethlehem College,Composite,Composite (Year 1-15),State: Integrated,9,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Bethlehem School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Big Rock Primary School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Birchville School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Upper Hutt
Birchwood School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Birdwood School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Birkdale Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Birkdale North School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Birkdale Primary School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Birkenhead College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Birkenhead School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Bishop Edward Gaines Catholic School,Primary,Full Primary,State: Integrated,2,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,South Waikato
Bishop Viard College,Secondary,Secondary (Year 7-15),State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Porirua
Bishopdale School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Blaketown School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Bledisloe School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Blenheim School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Blind and Low Vision Education Network NZ,Special,Special School,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Sch. for Vision Impaired,Not a Kura School,Auckland,Auckland: Manurewa
Blockhouse Bay Intermediate,Primary,Intermediate,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Blockhouse Bay School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Blomfield Special School and Resource Ctre,Special,Special School,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Sch. for Intellectual Impairments,Not a Kura School,Northland,Whangarei
Blue Mountain College,Secondary,Secondary (Year 7-15),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Bluestone School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Timaru
Bluff School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Invercargill
Bohally Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Bombay School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Botany Downs School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Botany Downs Secondary College,Secondary,Secondary (Year 9-15),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Boulcott School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Bradford School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Brandon Intermediate,Primary,Intermediate,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Bream Bay College,Secondary,Secondary (Year 7-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
