School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Te Kura o Tahaaroa,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Te Kura o Te Kao,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Northland,Far North
Te Kura o Te Moutere O Matakana,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Te Kura o Te Paroa,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Whakatane
Te Kura o Te Teko,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual School,Not a Kura School,Bay of Plenty,Whakatane
Te Kura o Te Whanau-a-Apanui,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Opotiki
Te Kura o Torere,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Opotiki
Te Kura o Waharoa,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Waikato,Matamata-Piako
Te Kura o Waikare,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Northland,Far North
Te Kura o Waikaremoana,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Wairoa
Te Kura o Waitahanui,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Bilingual School,Not a Kura School,Waikato,Taupo
Te Kura Taumata o Panguru,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
