DHB,Date,Age,Ethnicity,Eligible,Immunised
Auckland,2012-09-30,5 years,Asian,379,304
Auckland,2012-09-30,5 years,Maori,217,167
Auckland,2012-09-30,5 years,NZE,379,312
Auckland,2012-09-30,5 years,Other,322,238
Auckland,2012-09-30,5 years,Pacific,344,284
Auckland,2012-09-30,5 years,Total,1641,1305
Auckland,2012-12-31,6 months,Asian,445,396
Auckland,2012-12-31,6 months,Maori,173,110
Auckland,2012-12-31,6 months,NZE,433,372
Auckland,2012-12-31,6 months,Other,210,164
Auckland,2012-12-31,6 months,Pacific,302,229
Auckland,2012-12-31,6 months,Total,1563,1271
Auckland,2012-12-31,8 months,Asian,412,389
Auckland,2012-12-31,8 months,Maori,188,161
Auckland,2012-12-31,8 months,NZE,460,414
Auckland,2012-12-31,8 months,Other,220,198
Auckland,2012-12-31,8 months,Pacific,322,289
Auckland,2012-12-31,8 months,Total,1602,1451
Auckland,2012-12-31,12 months,Asian,398,381
Auckland,2012-12-31,12 months,Maori,187,164
Auckland,2012-12-31,12 months,NZE,451,429
Auckland,2012-12-31,12 months,Other,256,233
Auckland,2012-12-31,12 months,Pacific,272,253
Auckland,2012-12-31,12 months,Total,1564,1460
Auckland,2012-12-31,18 months,Asian,386,346
Auckland,2012-12-31,18 months,Maori,225,163
Auckland,2012-12-31,18 months,NZE,411,349
Auckland,2012-12-31,18 months,Other,220,184
Auckland,2012-12-31,18 months,Pacific,292,242
Auckland,2012-12-31,18 months,Total,1534,1284
Auckland,2012-12-31,24 months,Asian,420,404
Auckland,2012-12-31,24 months,Maori,192,174
Auckland,2012-12-31,24 months,NZE,448,408
Auckland,2012-12-31,24 months,Other,234,216
Auckland,2012-12-31,24 months,Pacific,310,297
Auckland,2012-12-31,24 months,Total,1604,1499
Auckland,2012-12-31,5 years,Asian,429,345
Auckland,2012-12-31,5 years,Maori,177,145
Auckland,2012-12-31,5 years,NZE,423,359
Auckland,2012-12-31,5 years,Other,281,199
Auckland,2012-12-31,5 years,Pacific,321,264
Auckland,2012-12-31,5 years,Total,1631,1312
Auckland,2013-03-31,6 months,Asian,475,402
Auckland,2013-03-31,6 months,Maori,195,117
Auckland,2013-03-31,6 months,NZE,401,330
Auckland,2013-03-31,6 months,Other,218,181
Auckland,2013-03-31,6 months,Pacific,285,210
Auckland,2013-03-31,6 months,Total,1574,1240
Auckland,2013-03-31,8 months,Asian,438,416
Auckland,2013-03-31,8 months,Maori,168,134
Auckland,2013-03-31,8 months,NZE,427,400
Auckland,2013-03-31,8 months,Other,205,184
Auckland,2013-03-31,8 months,Pacific,316,279
Auckland,2013-03-31,8 months,Total,1554,1413
Auckland,2013-03-31,12 months,Asian,433,418
Auckland,2013-03-31,12 months,Maori,190,171
Auckland,2013-03-31,12 months,NZE,461,433
Auckland,2013-03-31,12 months,Other,226,210
Auckland,2013-03-31,12 months,Pacific,331,314
Auckland,2013-03-31,12 months,Total,1641,1546
Auckland,2013-03-31,18 months,Asian,446,411
Auckland,2013-03-31,18 months,Maori,219,169
Auckland,2013-03-31,18 months,NZE,381,334
Auckland,2013-03-31,18 months,Other,249,203
Auckland,2013-03-31,18 months,Pacific,327,276
Auckland,2013-03-31,18 months,Total,1622,1393
Auckland,2013-03-31,24 months,Asian,397,384
Auckland,2013-03-31,24 months,Maori,191,173
Auckland,2013-03-31,24 months,NZE,424,386
Auckland,2013-03-31,24 months,Other,264,244
Auckland,2013-03-31,24 months,Pacific,299,282
Auckland,2013-03-31,24 months,Total,1575,1469
Auckland,2013-03-31,5 years,Asian,358,275
Auckland,2013-03-31,5 years,Maori,196,146
Auckland,2013-03-31,5 years,NZE,380,309
Auckland,2013-03-31,5 years,Other,330,241
Auckland,2013-03-31,5 years,Pacific,320,252
Auckland,2013-03-31,5 years,Total,1584,1223
Auckland,2013-06-30,6 months,Asian,522,473
Auckland,2013-06-30,6 months,Maori,206,124
Auckland,2013-06-30,6 months,NZE,443,367
Auckland,2013-06-30,6 months,Other,220,182
Auckland,2013-06-30,6 months,Pacific,318,231
Auckland,2013-06-30,6 months,Total,1709,1377
Auckland,2013-06-30,8 months,Asian,502,477
Auckland,2013-06-30,8 months,Maori,219,169
Auckland,2013-06-30,8 months,NZE,426,389
Auckland,2013-06-30,8 months,Other,211,195
Auckland,2013-06-30,8 months,Pacific,277,243
Auckland,2013-06-30,8 months,Total,1635,1473
